papel,segmento,cotação,ffo,dy,p/vp,valor_mercado,liquidez,num_imoveis,preço_m2,aluguel_m2,cap_rate,tx_vacancia
AFHI11,Títulos e Val. Mob.,100.83,0.0766,0.1467,1.06,249719000.0,734288.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val. Mob.,91.94,0.10220000000000001,0.1216,0.94,63548200.0,138000.0,0.0,0.0,0.0,0.0,0.0
ARCT11,Híbrido,103.41,0.10369999999999999,0.1679,1.03,383462000.0,1900930.0,9.0,393.6,21.81,0.0554,0.0
ARRI11,Títulos e Val. Mob.,8.96,1.4656,0.17489999999999997,0.1,10557200.0,322767.0,0.0,0.0,0.0,0.0,0.0
BARI11,Títulos e Val. Mob.,97.31,0.1452,0.1506,0.95,450953000.0,1060110.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1969.98,0.1745,0.1635,0.68,256097000.0,305314.0,3.0,2822.18,550.13,0.1949,0.0
BCRI11,Títulos e Val. Mob.,104.06,0.12140000000000001,0.1461,0.98,651194000.0,989325.0,0.0,0.0,0.0,0.0,0.0
BLMC11,Títulos e Val. Mob.,87.0,0.1223,0.1518,0.89,34756500.0,31946.0,0.0,0.0,0.0,0.0,0.0
BNFS11,Outros,123.5,0.1216,0.1273,1.24,86450000.0,100788.0,18.0,7973.98,1184.91,0.14859999999999998,0.0
BRIM11,Residencial,1030.22,0.06849999999999999,0.1722,1.04,127888000.0,116.0,4.0,9071.0,0.0,0.0,0.0
BTCR11,Títulos e Val. Mob.,94.75,0.106,0.1313,1.0,455757000.0,951493.0,0.0,0.0,0.0,0.0,0.0
CACR11,Híbrido,101.62,0.1159,0.1591,0.99,183671000.0,267737.0,0.0,0.0,0.0,0.0,0.0
CBOP11,Lajes Corporativas,60.95,0.1461,0.13720000000000002,0.8,86244200.0,60130.0,1.0,5017.76,410.92,0.0819,0.4732
CCRF11,Títulos e Val. Mob.,98.49,0.0677,0.1318,1.01,154816000.0,10739.0,0.0,0.0,0.0,0.0,0.0
CORM11,Híbrido,81.0,0.1359,0.1338,0.91,82402600.0,2208.0,3.0,7566.86,706.47,0.0934,0.0
CPTS11,Títulos e Val. Mob.,91.39,0.0086,0.1382,1.02,2904630000.0,7209070.0,0.0,0.0,0.0,0.0,0.0
CVBI11,Títulos e Val. Mob.,91.6,0.14550000000000002,0.152,0.92,1008540000.0,2930520.0,0.0,0.0,0.0,0.0,0.0
DEVA11,Títulos e Val. Mob.,96.78,0.0785,0.1617,0.98,1345800000.0,3768780.0,0.0,0.0,0.0,0.0,0.0
FEXC11,Títulos e Val. Mob.,87.63,0.12240000000000001,0.1333,0.95,534850000.0,977764.0,0.0,0.0,0.0,0.0,0.0
