,papel,segmento,cotação,ffo,dy,p/vp,valor_mercado,liquidez,num_imoveis,preço_m2,aluguel_m2,cap_rate,tx_vacancia
187,KNSC11,Títulos e Val. Mob.,85.6,0.0558,0.1744,0.97,1136410000.0,4300430.0,0.0,0.0,0.0,0.0,0.0
335,VGIP11,Títulos e Val. Mob.,91.57,0.0895,0.17350000000000002,1.0,1079360000.0,3288450.0,0.0,0.0,0.0,0.0,0.0
184,KNIP11,Títulos e Val. Mob.,91.84,0.0621,0.1707,0.97,7372880000.0,11186600.0,0.0,0.0,0.0,0.0,0.0
124,HABT11,Títulos e Val. Mob.,94.9,0.0736,0.16399999999999998,0.95,771232000.0,1934660.0,0.0,0.0,0.0,0.0,0.0
71,DEVA11,Títulos e Val. Mob.,96.78,0.0785,0.1617,0.98,1345800000.0,3768780.0,0.0,0.0,0.0,0.0,0.0
328,VCJR11,Títulos e Val. Mob.,92.77,0.0977,0.1605,0.99,1365940000.0,1700110.0,0.0,0.0,0.0,0.0,0.0
183,KNHY11,Títulos e Val. Mob.,96.6,0.069,0.1586,1.0,1786220000.0,2612020.0,0.0,0.0,0.0,0.0,0.0
280,RECR11,Títulos e Val. Mob.,91.8,0.1421,0.1568,0.96,2427340000.0,5085390.0,0.0,0.0,0.0,0.0,0.0
239,PORD11,Títulos e Val. Mob.,96.5,0.1358,0.15130000000000002,0.98,359788000.0,890600.0,0.0,0.0,0.0,0.0,0.0
344,VRTA11,Títulos e Val. Mob.,93.15,0.1304,0.1508,0.99,1225160000.0,2420020.0,0.0,0.0,0.0,0.0,0.0
15,BARI11,Títulos e Val. Mob.,97.31,0.1452,0.1506,0.95,450953000.0,1060110.0,1.0,0.0,0.0,0.0,0.0
24,BCRI11,Títulos e Val. Mob.,104.06,0.12140000000000001,0.1461,0.98,651194000.0,989325.0,0.0,0.0,0.0,0.0,0.0
228,OUJP11,Híbrido,96.11,0.1409,0.14550000000000002,0.95,312587000.0,703896.0,0.0,0.0,0.0,0.0,0.0
355,XPCI11,Títulos e Val. Mob.,92.77,0.062400000000000004,0.1348,0.96,807243000.0,2681780.0,0.0,0.0,0.0,0.0,0.0
93,FEXC11,Títulos e Val. Mob.,87.63,0.12240000000000001,0.1333,0.95,534850000.0,977764.0,0.0,0.0,0.0,0.0,0.0
46,BTCR11,Títulos e Val. Mob.,94.75,0.106,0.1313,1.0,455757000.0,951493.0,0.0,0.0,0.0,0.0,0.0
268,RBRR11,Títulos e Val. Mob.,96.59,0.10210000000000001,0.13,1.01,1298060000.0,4270350.0,0.0,0.0,0.0,0.0,0.0
