papel,segmento,cotação,ffo,dy,p/vp,valor_mercado,liquidez,num_imoveis,preço_m2,aluguel_m2,cap_rate,tx_vacancia
ABCP11,Shoppings,75.37,0.09,0.08689999999999999,0.82,919803000.0,103432.0,1.0,12898.5,1328.65,0.10300000000000001,0.14429999999999998
AEFI11,Outros,174.9,0.0788,0.0,1.24,353582000.0,0.0,7.0,4058.74,331.87,0.0818,0.0
AFCR11,Híbrido,103.15,0.1142,0.023799999999999998,1.0,186437000.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHI11,Títulos e Val. Mob.,100.83,0.0766,0.1467,1.06,249719000.0,734288.0,0.0,0.0,0.0,0.0,0.0
AFOF11,Títulos e Val. Mob.,91.94,0.10220000000000001,0.1216,0.94,63548200.0,138000.0,0.0,0.0,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.0075,0.0,11.98,14317200000.0,0.0,81.0,99105.7,1014.98,0.0102,0.0
AGRX11,Híbrido,10.31,0.0235,0.0125,0.71,34669700.0,27679.0,0.0,0.0,0.0,0.0,0.0
AIEC11,Lajes Corporativas,79.81,0.1045,0.1082,0.79,385082000.0,490372.0,2.0,16577.9,1990.31,0.1201,0.0
ALMI11,Lajes Corporativas,894.69,0.0064,0.0,0.4,99469000.0,42042.0,1.0,2213.87,145.68,0.0658,0.5892000000000001
ALZR11,Híbrido,117.5,0.0669,0.0674,1.12,741520000.0,1653000.0,13.0,5649.7,413.31,0.0732,0.0
ANCR11B,Shoppings,3500.0,0.0929,0.076,1.03,1578900000.0,0.0,3.0,15297.1,1911.2,0.1249,0.0902
APTO11,Híbrido,9.02,0.0694,0.10550000000000001,0.89,36196000.0,104668.0,5.0,13478.5,442.4,0.032799999999999996,0.0
ARCT11,Híbrido,103.41,0.10369999999999999,0.1679,1.03,383462000.0,1900930.0,9.0,393.6,21.81,0.0554,0.0
ARRI11,Títulos e Val. Mob.,8.96,1.4656,0.17489999999999997,0.1,10557200.0,322767.0,0.0,0.0,0.0,0.0,0.0
ATSA11,Shoppings,84.98,0.0049,0.0006,0.94,148812000.0,864.0,1.0,4398.31,46.43,0.0106,0.2157
BARI11,Títulos e Val. Mob.,97.31,0.1452,0.1506,0.95,450953000.0,1060110.0,1.0,0.0,0.0,0.0,0.0
BBFI11B,Lajes Corporativas,1969.98,0.1745,0.1635,0.68,256097000.0,305314.0,3.0,2822.18,550.13,0.1949,0.0
BBFO11,Títulos e Val. Mob.,77.1,0.1409,0.1151,0.93,308701000.0,213598.0,0.0,0.0,0.0,0.0,0.0
BBGO11,Títulos e Val. Mob.,85.65,0.0556,0.0409,0.87,343042000.0,273756.0,0.0,0.0,0.0,0.0,0.0
BBPO11,Lajes Corporativas,89.99,0.11789999999999999,0.11689999999999999,0.9,1432610000.0,1413310.0,63.0,3663.7,494.26,0.1349,0.0
BBRC11,Outros,104.59,0.1067,0.1067,0.98,166298000.0,82742.0,20.0,10336.9,1444.03,0.13970000000000002,0.0
BBVJ11,Lajes Corporativas,62.99,-0.0075,0.0,0.97,180781000.0,0.0,1.0,7178.25,257.9,0.0359,0.4866
BCFF11,Títulos e Val. Mob.,71.9,0.0935,0.0892,0.93,1810900000.0,2795010.0,0.0,0.0,0.0,0.0,0.0
BCIA11,Títulos e Val. Mob.,90.75,0.1059,0.08990000000000001,0.89,337503000.0,341151.0,0.0,0.0,0.0,0.0,0.0
BCRI11,Títulos e Val. Mob.,104.06,0.12140000000000001,0.1461,0.98,651194000.0,989325.0,0.0,0.0,0.0,0.0,0.0
BICE11,Títulos e Val. Mob.,1000.0,0.1066,0.0877,1.01,21071000.0,0.0,0.0,0.0,0.0,0.0,0.0
BICR11,Títulos e Val. Mob.,102.14,0.087,0.0786,1.02,51070000.0,1463.0,0.0,0.0,0.0,0.0,0.0
BIME11,Híbrido,9.35,0.0753,0.09050000000000001,1.02,54656400.0,170539.0,2.0,1515.52,0.0,0.0,0.0
BLCA11,Lajes Corporativas,91.49,0.033,0.0337,1.04,146384000.0,1146.0,1.0,46185.5,1446.26,0.0313,0.0
BLCP11,Logística,88.98,0.0553,0.062,0.8,204323000.0,206670.0,2.0,2944.54,199.89,0.0679,0.0
BLMC11,Títulos e Val. Mob.,87.0,0.1223,0.1518,0.89,34756500.0,31946.0,0.0,0.0,0.0,0.0,0.0
BLMG11,Outros,84.23,0.0928,0.1175,0.92,320966000.0,479276.0,2.0,792.81,59.65,0.07519999999999999,0.0
BLMO11,Lajes Corporativas,23998.0,-0.0007000000000000001,0.006500000000000001,0.82,91120400.0,24090.0,1.0,14150.8,306.46,0.0217,0.0
BLMR11,Títulos e Val. Mob.,7.58,0.1324,0.11460000000000001,0.96,193606000.0,489824.0,0.0,0.0,0.0,0.0,0.0
BLUR11,Títulos e Val. Mob.,104.26,0.0215,0.0489,1.01,9383400.0,21385.0,0.0,0.0,0.0,0.0,0.0
BMLC11,Híbrido,98.02,0.08310000000000001,0.08439999999999999,0.9,97863700.0,87994.0,2.0,13807300.0,1270990.57,0.09210000000000002,0.0
BNFS11,Outros,123.5,0.1216,0.1273,1.24,86450000.0,100788.0,18.0,7973.98,1184.91,0.14859999999999998,0.0
BPFF11,Outros,67.78,0.126,0.1134,0.89,304490000.0,535487.0,0.0,0.0,0.0,0.0,0.0
BPML11,Shoppings,64.75,0.046,0.0421,0.52,278754000.0,77320.0,4.0,3513670.0,595082.46,0.16940000000000002,0.0594
BPRP11,Outros,99.01,0.1013,0.10279999999999999,0.91,133647000.0,365.0,1.0,5790.28,610.43,0.1054,0.0
BRCO11,Logística,109.2,0.07,0.0697,0.92,1613840000.0,3128610.0,11.0,3594.04,297.05,0.0827,0.0
BRCR11,Híbrido,69.4,0.0849,0.08289999999999999,0.69,1848690000.0,2437160.0,9.0,12115.2,1150.78,0.095,0.1272
BREV11,Híbrido,106.15,0.0591,0.06269999999999999,0.97,102668000.0,128734.0,14.0,17415.0,1257.24,0.0722,0.0
BRIM11,Residencial,1030.22,0.06849999999999999,0.1722,1.04,127888000.0,116.0,4.0,9071.0,0.0,0.0,0.0
BRLA11,Outros,145.87,0.0548,0.07629999999999999,0.92,333254000.0,40709.0,6.0,1093.95,60.31,0.055099999999999996,0.0
BTAL11,Outros,100.0,0.07440000000000001,0.0968,0.94,598274000.0,997136.0,9.0,1643.1,149.25,0.0908,0.0
BTCR11,Títulos e Val. Mob.,94.75,0.106,0.1313,1.0,455757000.0,951493.0,0.0,0.0,0.0,0.0,0.0
BTLG11,Híbrido,104.88,0.037599999999999995,0.0828,1.07,1754530000.0,4564240.0,9.0,4689.6,214.79,0.0458,0.0625
BTRA11,Outros,87.59,0.10859999999999999,0.1148,0.84,294702000.0,593144.0,6.0,4.34,0.43,0.1003,0.0
BTWR11,Lajes Corporativas,105.49,0.0418,0.0408,0.95,85369900.0,2374.0,1.0,4200.49,187.19,0.0446,0.0
BVAR11,Outros,100.01,0.8503000000000001,2.8182,0.1,62560300.0,0.0,64.0,473.72,439.38,0.9275,0.0621
CACR11,Híbrido,101.62,0.1159,0.1591,0.99,183671000.0,267737.0,0.0,0.0,0.0,0.0,0.0
CARE11,Híbrido,3.95,-0.021,0.0021,0.48,141291000.0,53224.0,2.0,5518.91,10.16,0.0018,0.9998999999999999
CBOP11,Lajes Corporativas,60.95,0.1461,0.13720000000000002,0.8,86244200.0,60130.0,1.0,5017.76,410.92,0.0819,0.4732
CCRF11,Títulos e Val. Mob.,98.49,0.0677,0.1318,1.01,154816000.0,10739.0,0.0,0.0,0.0,0.0,0.0
CEOC11,Lajes Corporativas,60.75,0.09390000000000001,0.09380000000000001,0.67,110304000.0,62988.0,1.0,8303.32,930.0,0.11199999999999999,0.0
CNES11,Lajes Corporativas,35.27,0.0377,0.036000000000000004,0.4,104020000.0,13467.0,1.0,1486.81,171.76,0.1155,0.546
CORM11,Híbrido,81.0,0.1359,0.1338,0.91,82402600.0,2208.0,3.0,7566.86,706.47,0.0934,0.0
CPFF11,Títulos e Val. Mob.,73.78,0.0471,0.09880000000000001,0.96,402085000.0,795052.0,0.0,0.0,0.0,0.0,0.0
CPTR11,Títulos e Val. Mob.,105.24,0.0273,0.0322,1.05,109057000.0,114250.0,0.0,0.0,0.0,0.0,0.0
CPTS11,Títulos e Val. Mob.,91.39,0.0086,0.1382,1.02,2904630000.0,7209070.0,0.0,0.0,0.0,0.0,0.0
CRFF11,Títulos e Val. Mob.,72.5,0.0867,0.08539999999999999,0.86,50027900.0,87778.0,0.0,0.0,0.0,0.0,0.0
CTXT11,Lajes Corporativas,12.52,-0.0738,0.0,0.31,36342700.0,2663.0,1.0,778.56,22.93,0.029500000000000002,0.9778
CVBI11,Títulos e Val. Mob.,91.6,0.14550000000000002,0.152,0.92,1008540000.0,2930520.0,0.0,0.0,0.0,0.0,0.0
CXAG11,Outros,80.05,0.0436,0.047599999999999996,0.7,167354000.0,139167.0,32.0,2900.32,148.2,0.051100000000000007,0.0
CXCE11B,Lajes Corporativas,40.79,0.14880000000000002,0.1143,0.63,69871200.0,25453.0,1.0,3289.16,569.86,0.17329999999999998,0.0
CXCI11,Títulos e Val. Mob.,84.97,0.015,0.045599999999999995,0.89,174845000.0,100667.0,0.0,0.0,0.0,0.0,0.0
CXCO11,Lajes Corporativas,77.87,0.1082,0.1045,0.81,305601000.0,209839.0,10.0,3285.33,375.86,0.1144,0.0
CXRI11,Títulos e Val. Mob.,69.09,0.094,0.0897,0.84,108869000.0,17134.0,0.0,0.0,0.0,0.0,0.0
CXTL11,Logística,370.0,-0.0067,0.05,0.53,19830900.0,10930.0,3.0,798.55,78.81,0.0987,0.6515000000000001
DCRA11,Títulos e Val. Mob.,9.79,0.0537,0.0816,1.02,65973900.0,251963.0,0.0,0.0,0.0,0.0,0.0
DEVA11,Títulos e Val. Mob.,96.78,0.0785,0.1617,0.98,1345800000.0,3768780.0,0.0,0.0,0.0,0.0,0.0
DMAC11,Residencial,13.0,-7.585,0.6123,2.61,2029400.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMC11,Híbrido,439.0,-0.0027,0.0,4.05,1072830000.0,0.0,2.0,24558.3,122.54,0.005,0.3825
DOVL11B,Lajes Corporativas,931.32,0.0397,0.0365,0.75,61845200.0,0.0,2.0,3500.44,373.7,0.10679999999999999,0.0
DPRO11,Híbrido,99.99,0.0256,0.013300000000000001,1.02,23647600.0,12533.0,1.0,2786.88,38.5,0.0138,0.0
DRIT11B,Lajes Corporativas,87.12,0.0732,0.0767,0.7,40360700.0,1715.0,6.0,8064.01,786.5,0.0975,0.06269999999999999
DVFF11,Híbrido,78.38,0.058499999999999996,0.1013,0.86,86292500.0,158504.0,0.0,0.0,0.0,0.0,0.0
EDFO11B,Lajes Corporativas,200.0,0.0873,0.091,1.03,47200000.0,5458.0,1.0,132746.0,13291.13,0.1001,0.0
EDGA11,Lajes Corporativas,20.33,0.0723,0.0728,0.31,77499100.0,51306.0,1.0,3079.23,417.64,0.1356,0.4959
EGAF11,Títulos e Val. Mob.,103.55,0.0682,0.08529999999999999,1.08,31231700.0,138499.0,0.0,0.0,0.0,0.0,0.0
ELDO11B,Shoppings,1104.31,0.07730000000000001,0.0296,0.82,869375000.0,0.0,1.0,11422.3,1094.71,0.0958,0.015
EQIN11,Títulos e Val. Mob.,93.5,0.13419999999999999,0.0808,1.01,149773000.0,0.0,0.0,0.0,0.0,0.0,0.0
EQIR11,Títulos e Val. Mob.,95.0,0.0925,0.10210000000000001,0.96,47737500.0,23060.0,0.0,0.0,0.0,0.0,0.0
ERCR11,Híbrido,76000.0,0.0876,0.32549999999999996,1.09,180576000.0,0.0,0.0,0.0,0.0,0.0,0.0
ERPA11,Lajes Corporativas,111.0,0.0001,0.0219,0.96,55602300.0,14637.0,1.0,16418.5,344.18,0.021,0.0
EURO11,Logística,236.5,0.0873,0.0857,0.76,90800900.0,49781.0,7.0,768.79,73.94,0.0962,0.0
EVBI11,Híbrido,97.81,0.08220000000000001,0.09,0.98,136716000.0,102532.0,7.0,7027.04,521.75,0.0742,0.0
EXES11,Títulos e Val. Mob.,103.05,0.03,0.0178,1.02,22200600.0,11461.0,0.0,0.0,0.0,0.0,0.0
FAED11,Outros,152.0,0.1025,0.1063,0.7,97609500.0,92655.0,3.0,2567.68,282.88,0.11019999999999999,0.0
FAMB11B,Lajes Corporativas,786.0,-0.1464,0.0,0.26,82372800.0,17288.0,1.0,1402.33,0.0,0.0,1.0
FATN11,Híbrido,101.39,0.0741,0.09269999999999999,1.0,101390000.0,65195.0,22.0,25874.2,1951.33,0.0754,0.0052
FCFL11,Outros,124.99,0.0767,0.0711,1.19,434217000.0,216432.0,1.0,13994.5,1161.22,0.083,0.0
FEXC11,Títulos e Val. Mob.,87.63,0.12240000000000001,0.1333,0.95,534850000.0,977764.0,0.0,0.0,0.0,0.0,0.0
FFCI11,Lajes Corporativas,182.03,0.0333,0.0,0.93,671817000.0,0.0,9.0,16439.2,821.09,0.0499,0.1469
FGAA11,Híbrido,10.17,0.0131,0.08800000000000001,1.06,346773000.0,1747900.0,0.0,0.0,0.0,0.0,0.0
FIGS11,Shoppings,56.52,0.0759,0.07519999999999999,0.57,161082000.0,185012.0,2.0,2510.94,204.28,0.0814,0.1545
FIIB11,Híbrido,487.57,0.0839,0.0819,1.07,333985000.0,271974.0,11.0,597.64,56.58,0.0947,0.0124
FIIP11B,Híbrido,159.6,0.1017,0.0973,0.86,147975000.0,90967.0,7.0,2083.65,241.64,0.11599999999999999,0.0
